Waktu,Aktivitas,Valid,Q_Signal,RR_Status,Anomaly_Score,HR_Mean,Z_HR,RMSSD,Z_RMSSD,SDNN,Z_SDNN
2024-05-28T06:15:00.000Z,Lainnya,Yes,,NORMAL,0.17,95.16,,27.07,-0.2,28.82,-0.18
2024-05-28T06:25:00.000Z,Lainnya,Yes,,NORMAL,0.81,92.82,,26.56,-0.28,26.64,-0.52
2024-05-28T06:35:00.000Z,Lainnya,Yes,,NORMAL,0.66,98.15,,37.13,1.56,32.17,0.39
2024-05-28T06:40:00.000Z,Lainnya,Yes,,NORMAL,0.32,94.46,,26.88,-0.29,28.03,-0.3
2024-05-28T06:55:00.000Z,Lainnya,Yes,,NORMAL,0.74,91.21,,23.58,-0.85,22.95,-1.15
2024-05-28T07:15:00.000Z,Lainnya,Yes,,NORMAL,0.21,88.82,,40.9,2.18,39.84,1.73
2024-05-28T07:20:00.000Z,Lainnya,Yes,,DEVIATION_CANDIDATE,1.54,95.47,,26.48,-0.38,26.02,-0.63
2024-05-28T07:25:00.000Z,Lainnya,Yes,,NORMAL,1.11,92.74,,33.32,0.71,37.85,1.27
2024-05-28T07:35:00.000Z,Lainnya,Yes,,NORMAL,0.18,90.68,,37.54,1.37,40.28,1.58
2024-05-28T08:20:00.000Z,Lainnya,Yes,,NORMAL,0.13,87.75,,28.07,-0.21,36.98,0.96
2024-05-28T08:25:00.000Z,Lainnya,No,,UNKNOWN,,86.33,,38,,38,
2024-05-28T08:35:00.000Z,Lainnya,No,,UNKNOWN,,87.78,,16.44,,14.23,
2024-05-28T08:50:00.000Z,Lainnya,No,,UNKNOWN,,94.29,,49.46,,42.57,
2024-05-28T08:55:00.000Z,Lainnya,Yes,,NORMAL,0.06,89.35,,38.24,1.44,42.09,1.71
2024-05-28T09:00:00.000Z,Lainnya,Yes,,NORMAL,0.71,89.11,,27.21,-0.4,34.7,0.49
2024-05-28T09:15:00.000Z,Lainnya,Yes,,NORMAL,1.25,87.52,,19.92,-1.57,23.29,-1.24
2024-05-28T09:20:00.000Z,Lainnya,Yes,,NORMAL,1,85.3,,20.92,-1.32,26.58,-0.69
2024-05-29T01:35:00.000Z,Lainnya,Yes,,BASELINE_PAUSED,1.72,94.58,,19.32,-0.92,15.48,-1.53
2024-05-29T01:50:00.000Z,Lainnya,No,,UNKNOWN,,97.33,,18.93,,19.42,
2024-05-29T01:55:00.000Z,Lainnya,Yes,,NORMAL,0.72,97.68,,21.43,-0.56,22.65,-0.94
2024-05-29T02:00:00.000Z,Lainnya,No,,UNKNOWN,,101,,0,,0,
2024-05-29T08:55:00.000Z,Duduk,Yes,,INSUFFICIENT_BASELINE,0.06,108.82,0,14.22,0,9.08,0
2024-05-29T09:10:00.000Z,Duduk,Yes,,INSUFFICIENT_BASELINE,0.11,109.79,0,24.88,0,16.93,0
2024-05-29T09:20:00.000Z,Duduk,Yes,,NORMAL,0.29,110.47,,21.85,0.31,18.32,0.96
2024-05-29T09:30:00.000Z,Duduk,Yes,,NORMAL,0.04,107.09,,20.64,0.06,19.32,0.91
2024-05-29T09:45:00.000Z,Duduk,No,,UNKNOWN,,115.5,,0,,0,
2024-05-29T10:00:00.000Z,Duduk,No,,UNKNOWN,,109.83,,9.87,,7.09,
2024-05-29T10:05:00.000Z,Duduk,No,,UNKNOWN,,107,,0,,0,
2024-05-29T10:40:00.000Z,Duduk,Yes,,BASELINE_PAUSED,0.01,110.31,,24.07,0.82,20.91,1.07
2024-05-29T10:45:00.000Z,Duduk,No,,UNKNOWN,,111.33,,23.02,,13.47,
2024-05-29T10:55:00.000Z,Duduk,No,,UNKNOWN,,112.14,,13.24,,10.21,
2024-05-29T11:00:00.000Z,Duduk,Yes,,INSUFFICIENT_BASELINE,0.06,110.62,0,12.8,0,18.43,0
2024-05-29T11:10:00.000Z,Duduk,No,,UNKNOWN,,107,,0,,0,
2024-05-29T11:20:00.000Z,Duduk,No,,UNKNOWN,,104.5,,0,,0,
2024-05-29T12:10:00.000Z,Lainnya,No,,UNKNOWN,,114.5,,10,,7.07,
2024-05-29T12:30:00.000Z,Lainnya,Yes,,INSUFFICIENT_BASELINE,0.11,99.62,0,25.41,0,22.34,0
2024-05-29T12:55:00.000Z,Duduk,Yes,,INSUFFICIENT_BASELINE,0.02,95.34,0,17.07,0,21.22,0
2024-05-29T13:00:00.000Z,Duduk,Yes,,NORMAL,0.65,92.57,,16.91,0.65,21.5,0.85
2024-05-29T13:05:00.000Z,Duduk,No,,UNKNOWN,,93.25,,12.5,,11.24,
2024-05-29T13:20:00.000Z,Duduk,Yes,,NORMAL,0.04,91.68,,20.69,2.11,23.29,1.71
2024-05-29T13:30:00.000Z,Duduk,Yes,,NORMAL,0.04,94.97,,20.36,1.08,32.42,5.63
2024-05-29T13:35:00.000Z,Duduk,Yes,,NORMAL,0.51,95.61,,24.71,2.23,25.1,0.32
2024-05-29T13:40:00.000Z,Duduk,Yes,,NORMAL,0.12,91.23,,23.13,1.07,36.2,2.59
2024-05-29T13:45:00.000Z,Duduk,Yes,,NORMAL,0.67,89.75,,22.66,0.8,23.61,-0.28
2024-05-29T14:25:00.000Z,Duduk,Yes,,NORMAL,0.61,90.97,,25.09,1.34,32.98,1.29
2024-05-29T14:30:00.000Z,Duduk,Yes,,NORMAL,0.87,91.72,,23.6,0.79,30.22,0.67
2024-05-29T14:35:00.000Z,Duduk,No,,UNKNOWN,,100,,0,,0,
2024-05-29T15:00:00.000Z,Duduk,No,,UNKNOWN,,81,,16.7,,9.63,
2024-05-29T15:10:00.000Z,Duduk,No,,UNKNOWN,,82,,20.7,,15.5,
